title                    	GC3s	GC	Aromo	
gi|401800989|gb|CP003773.	0.171	0.291	0.172589	
gi|401800989|gb|CP003773.	0.137	0.273	0.047297	
gi|401800989|gb|CP003773.	0.171	0.303	0.082305	
gi|401800989|gb|CP003773.	0.156	0.278	0.054945	
gi|401800989|gb|CP003773.	0.194	0.300	0.149100	
gi|401800989|gb|CP003773.	0.198	0.304	0.107612	
gi|401800989|gb|CP003773.	0.146	0.290	0.107407	
gi|401800989|gb|CP003773.	0.167	0.292	0.088235	
gi|401800989|gb|CP003773.	0.105	0.221	0.179104	
gi|401800989|gb|CP003773.	0.163	0.265	0.082353	
gi|401800989|gb|CP003773.	0.174	0.287	0.142494	
gi|401800989|gb|CP003773.	0.181	0.325	0.058824	
gi|401800989|gb|CP003773.	0.124	0.283	0.100000	
gi|401800989|gb|CP003773.	0.200	0.341	0.068182	
gi|401800989|gb|CP003773.	0.199	0.329	0.114094	
gi|401800989|gb|CP003773.	0.167	0.285	0.088496	
gi|401800989|gb|CP003773.	0.239	0.310	0.094077	
gi|401800989|gb|CP003773.	0.196	0.394	0.053299	
gi|401800989|gb|CP003773.	0.210	0.264	0.164062	
gi|401800989|gb|CP003773.	0.166	0.312	0.078767	
gi|401800989|gb|CP003773.	0.102	0.314	0.078571	
gi|401800989|gb|CP003773.	0.158	0.275	0.079284	
gi|401800989|gb|CP003773.	0.155	0.276	0.129129	
gi|401800989|gb|CP003773.	0.190	0.257	0.145833	
gi|401800989|gb|CP003773.	0.181	0.346	0.057554	
gi|401800989|gb|CP003773.	0.220	0.288	0.096154	
gi|401800989|gb|CP003773.	0.175	0.309	0.097143	
gi|401800989|gb|CP003773.	0.169	0.298	0.083333	
gi|401800989|gb|CP003773.	0.132	0.335	0.076923	
gi|401800989|gb|CP003773.	0.187	0.278	0.137441	
gi|401800989|gb|CP003773.	0.206	0.307	0.106250	
gi|401800989|gb|CP003773.	0.214	0.282	0.123552	
gi|401800989|gb|CP003773.	0.230	0.318	0.136842	
gi|401800989|gb|CP003773.	0.244	0.300	0.100840	
gi|401800989|gb|CP003773.	0.222	0.417	0.062500	
gi|401800989|gb|CP003773.	0.220	0.309	0.058252	
gi|401800989|gb|CP003773.	0.177	0.309	0.110485	
gi|401800989|gb|CP003773.	0.191	0.297	0.063604	
gi|401800989|gb|CP003773.	0.135	0.275	0.100686	
gi|401800989|gb|CP003773.	0.141	0.277	0.112150	
gi|401800989|gb|CP003773.	0.148	0.300	0.070632	
